# Source                  a0         a1         a2         a3         a4         a5    chisq     freqLo   freqHi 
"J0133–3629"          1.0440    -0.6619    -0.2252        nan        nan        nan      267     0.2      4      
"3C48"                1.3253    -0.7553    -0.1914    +0.0498        nan        nan      3.1     0.05     50     
"Fornax A"            2.2175    -0.6606        nan        nan        nan        nan      17      0.2      0.5    
"3C123"               1.8017    -0.7884    -0.1035    -0.0248    +0.0090        nan      1.9     0.05     50     
"J0444–2809"          0.9710    -0.8938    -0.1176        nan        nan        nan      3.3     0.2      2.0    
"3C138"               1.0088    -0.4981    -0.1552    -0.0102    +0.0223        nan      1.5     0.2      50     
"Pictor A"            1.9380    -0.7470    -0.0739        nan        nan        nan      8.1     0.2      4.0    
"Taurus A"            2.9516    -0.2173    -0.0473    -0.0674        nan        nan      1.9     0.05     4.0    
"3C147"               1.4516    -0.6961    -0.2007    +0.0640    -0.0464    +0.0289      2.2     0.05     50     
"3C196"               1.2872    -0.8530    -0.1534    -0.0200    +0.0201        nan      1.6     0.050    50     
"Hydra A"             1.7795    -0.9176    -0.0843    -0.0139    +0.0295        nan      3.5     0.050    12     
"Virgo A"             2.4466    -0.8116    -0.0483        nan        nan        nan      2.0     0.05     3      
"3C286"               1.2481    -0.4507    -0.1798    +0.0357        nan        nan      1.9     0.05     50     
"3C295"               1.4701    -0.7658    -0.2780    -0.0347    +0.0399        nan      1.6     0.05     50     
"Hercules A"          1.8298    -1.0247    -0.0951        nan        nan        nan      2.3     0.2      12     
"3C353"               1.8627    -0.6938    -0.0998    -0.0732        nan        nan      2.2     0.2      4      
"3C380"               1.2320    -0.7909    +0.0947    +0.0976    -0.1794    -0.1566      2.9     0.05     50     
"Cygnus A"            3.3498    -1.0022    -0.2246    +0.0227    +0.0425        nan      1.9     0.05     12     
"3C444"               1.1064    -1.0052    -0.0750    -0.0767        nan        nan      5.7     0.2      12     
"Cassiopeia A"        3.3584    -0.7518    -0.0347    -0.0705        nan        nan      2.1     0.2      4      
