#        x     x_err         y     y_err           freq               flux           flux_err         major     major_err         minor     minor_err            PA        PA_err
#   arcsec    arcsec    arcsec    arcsec            GHz                mJy                mJy        arcsec        arcsec        arcsec        arcsec        degree        degree
    -9.427     0.000     5.900     0.000        234.740     -0.2479577E+01      0.5149150E+01         0.000         0.000         0.000         0.000         0.000         0.000
    -9.427     0.000     5.900     0.000        234.733      0.7702046E+00      0.5349206E+01         0.000         0.000         0.000         0.000         0.000         0.000
    -9.427     0.000     5.900     0.000        234.725      0.1197017E+02      0.5111241E+01         0.000         0.000         0.000         0.000         0.000         0.000
    -9.427     0.000     5.900     0.000        234.717     -0.7260821E+01      0.5118731E+01         0.000         0.000         0.000         0.000         0.000         0.000
    -9.427     0.000     5.900     0.000        234.709     -0.4068003E+01      0.5141426E+01         0.000         0.000         0.000         0.000         0.000         0.000
    -9.427     0.000     5.900     0.000        234.701      0.1824700E+01      0.5038418E+01         0.000         0.000         0.000         0.000         0.000         0.000
    -9.427     0.000     5.900     0.000        234.694      0.2871926E+01      0.5040293E+01         0.000         0.000         0.000         0.000         0.000         0.000
    -9.427     0.000     5.900     0.000        234.686     -0.2570293E+01      0.5105108E+01         0.000         0.000         0.000         0.000         0.000         0.000
    -9.427     0.000     5.900     0.000        234.678     -0.7903806E+01      0.5058474E+01         0.000         0.000         0.000         0.000         0.000         0.000
    -9.427     0.000     5.900     0.000        234.670     -0.2348894E+01      0.5025144E+01         0.000         0.000         0.000         0.000         0.000         0.000
    -9.427     0.000     5.900     0.000        234.662      0.5994804E+01      0.5052220E+01         0.000         0.000         0.000         0.000         0.000         0.000
    -9.427     0.000     5.900     0.000        234.655     -0.4696479E+01      0.5197839E+01         0.000         0.000         0.000         0.000         0.000         0.000
    -9.427     0.000     5.900     0.000        234.647      0.3684975E+01      0.5014949E+01         0.000         0.000         0.000         0.000         0.000         0.000
    -9.427     0.000     5.900     0.000        234.639     -0.6441267E+01      0.5031867E+01         0.000         0.000         0.000         0.000         0.000         0.000
