#          freq               flux              error       SNR
#           GHz                mJy                mJy          
        234.740     -0.5017579E+01      0.4897616E+01      0.00
        234.733      0.1393809E+01      0.5087725E+01      0.01
        234.725      0.2473391E+01      0.4861227E+01      0.01
        234.717      0.1949069E+01      0.4868185E+01      0.01
        234.709     -0.1412379E+01      0.4889602E+01      0.00
        234.701     -0.6168346E-01      0.4791478E+01      0.00
        234.694     -0.1523429E+01      0.4793098E+01      0.00
        234.686      0.4415424E+00      0.4854570E+01      0.00
        234.678      0.2960357E+01      0.4810062E+01      0.01
        234.670     -0.9334530E+01      0.4778208E+01      0.00
        234.662     -0.4711267E+01      0.4803792E+01      0.00
        234.655     -0.8966251E+01      0.4942084E+01      0.00
        234.647      0.1585000E+01      0.4768032E+01      0.01
        234.639      0.5043194E+00      0.4783957E+01      0.00
        234.631      0.4682687E+01      0.4834568E+01      0.02
        234.623     -0.2337663E+01      0.4736135E+01      0.00
        234.616      0.6807788E+01      0.4956407E+01      0.03
        234.608     -0.7850552E+01      0.4805488E+01      0.00
        234.600     -0.7486657E+01      0.4767163E+01      0.00
        234.592     -0.7026439E+01      0.4788552E+01      0.00
        234.584     -0.2990354E+01      0.4875032E+01      0.00
        234.577     -0.3186343E+01      0.4694243E+01      0.00
        234.569     -0.7307738E+01      0.4840142E+01      0.00
        234.561      0.3243189E+01      0.4900996E+01      0.01
        234.553      0.3475829E+01      0.4676619E+01      0.01
        234.545     -0.3058172E+01      0.4744721E+01      0.00
        234.538     -0.5471343E+01      0.4893867E+01      0.00
        234.530     -0.7949633E+01      0.4781589E+01      0.00
        234.522     -0.1351145E+01      0.4703215E+01      0.00
        234.514      0.2305853E+01      0.4661488E+01      0.01
        234.506      0.2098051E+00      0.4732591E+01      0.00
        234.498      0.1822801E+01      0.4621429E+01      0.01
        234.491     -0.7002438E+00      0.4698851E+01      0.00
        234.483      0.2133005E+01      0.4618519E+01      0.01
        234.475      0.7827153E+01      0.4720468E+01      0.03
        234.467      0.3199998E+00      0.4619875E+01      0.00
        234.459      0.4489148E+01      0.4654430E+01      0.02
        234.452      0.1184774E+02      0.4637560E+01      0.05
        234.444     -0.7807703E+01      0.4652930E+01      0.00
        234.436      0.5005234E+00      0.4808465E+01      0.00
        234.428      0.6226288E+01      0.4766267E+01      0.03
        234.420     -0.1153637E+01      0.4660837E+01      0.00
        234.413      0.4130263E+01      0.4755764E+01      0.02
        234.405     -0.1123213E+01      0.4698128E+01      0.00
        234.397     -0.6325012E+01      0.4711039E+01      0.00
        234.389      0.2036440E+01      0.4758770E+01      0.01
        234.381     -0.1805248E+01      0.4785004E+01      0.00
        234.374     -0.3705862E+01      0.4769360E+01      0.00
        234.366     -0.7159235E+01      0.4741697E+01      0.00
        234.358     -0.8948845E+00      0.4853615E+01      0.00
        234.350      0.3572758E+01      0.4771048E+01      0.02
        234.342      0.2859409E+01      0.4746312E+01      0.01
        234.335      0.7357601E+01      0.4682258E+01      0.03
        234.327      0.5250363E+01      0.4760293E+01      0.02
        234.319     -0.2617117E+01      0.4716369E+01      0.00
        234.311      0.3385396E+01      0.4865555E+01      0.01
        234.303      0.5109107E+00      0.4732553E+01      0.00
        234.296      0.7586944E+01      0.4677028E+01      0.03
        234.288     -0.8607930E+01      0.4703819E+01      0.00
        234.280      0.8318417E+00      0.4770829E+01      0.00
        234.272      0.7774014E+00      0.4654377E+01      0.00
        234.264     -0.7246882E+01      0.4684631E+01      0.00
        234.257      0.2267853E+01      0.4621377E+01      0.01
        234.249      0.1245016E+01      0.4595731E+01      0.01
        234.241      0.2105751E+01      0.4696704E+01      0.01
        234.233     -0.2356610E+01      0.4572909E+01      0.00
        234.225      0.6259102E+01      0.4589672E+01      0.03
        234.218     -0.7473133E+00      0.4524660E+01      0.00
        234.210     -0.3841998E+01      0.4473550E+01      0.00
        234.202     -0.8575010E+01      0.4556756E+01      0.00
        234.194     -0.2193580E+00      0.4518407E+01      0.00
        234.186     -0.5472368E+01      0.4591512E+01      0.00
        234.179     -0.1312033E+01      0.4502851E+01      0.00
        234.171     -0.2778874E+01      0.4497441E+01      0.00
        234.163     -0.5818632E+01      0.4417441E+01      0.00
        234.155      0.2373592E+01      0.4485100E+01      0.01
        234.147      0.8207013E+00      0.4536225E+01      0.00
        234.139     -0.7799057E+00      0.4529941E+01      0.00
        234.132      0.1041315E+02      0.4541567E+01      0.04
        234.124     -0.5704140E+01      0.4413273E+01      0.00
        234.116      0.2847143E+00      0.4471603E+01      0.00
        234.108     -0.1622595E+01      0.4389703E+01      0.00
        234.100      0.5643597E+01      0.4362345E+01      0.02
        234.093     -0.1396195E+01      0.4507797E+01      0.00
        234.085     -0.1087855E+01      0.4497791E+01      0.00
        234.077      0.2079913E+01      0.4495030E+01      0.01
        234.069     -0.4403337E+01      0.4532569E+01      0.00
        234.061     -0.3096323E+01      0.4508567E+01      0.00
        234.054      0.2824290E+01      0.4551681E+01      0.01
        234.046      0.3864212E+01      0.4471977E+01      0.02
        234.038      0.3396811E+01      0.4440795E+01      0.01
