#          x       x_err           y       y_err        freq           flux       flux_err       major   major_err       minor   minor_err          PA      PA_err             RA            Dec    velocity
#     arcsec      arcsec      arcsec      arcsec         GHz            mJy            mJy      arcsec      arcsec      arcsec      arcsec      degree      degree         degree         degree        km/s
       9.577       0.000       5.654       0.000     234.740    5.81070E+00    5.94151E+00       1.000       0.000       0.000       0.000       0.000       0.000    150.0390472      2.3189306   -1000.000
       9.577       0.000       5.654       0.000     234.733    9.82796E+00    6.16368E+00       1.000       0.000       0.000       0.000       0.000       0.000    150.0390472      2.3189306    -990.000
       9.577       0.000       5.654       0.000     234.725    2.23611E-01    5.90011E+00       1.000       0.000       0.000       0.000       0.000       0.000    150.0390472      2.3189306    -980.000
       9.577       0.000       5.654       0.000     234.717   -4.79403E+00    5.90568E+00       1.000       0.000       0.000       0.000       0.000       0.000    150.0390472      2.3189306    -970.000
       9.577       0.000       5.654       0.000     234.709    1.72204E+00    5.92573E+00       1.000       0.000       0.000       0.000       0.000       0.000    150.0390472      2.3189306    -960.000
       9.577       0.000       5.654       0.000     234.701    2.88322E+00    5.80864E+00       1.000       0.000       0.000       0.000       0.000       0.000    150.0390472      2.3189306    -950.000
       9.577       0.000       5.654       0.000     234.694    2.10217E+00    5.81790E+00       1.000       0.000       0.000       0.000       0.000       0.000    150.0390472      2.3189306    -940.000
       9.577       0.000       5.654       0.000     234.686   -7.08239E+00    5.88613E+00       1.000       0.000       0.000       0.000       0.000       0.000    150.0390472      2.3189306    -930.000
       9.577       0.000       5.654       0.000     234.678    6.13445E+00    5.83488E+00       1.000       0.000       0.000       0.000       0.000       0.000    150.0390472      2.3189306    -920.000
       9.577       0.000       5.654       0.000     234.670   -5.19034E+00    5.79478E+00       1.000       0.000       0.000       0.000       0.000       0.000    150.0390472      2.3189306    -910.000
       9.577       0.000       5.654       0.000     234.662   -6.69597E+00    5.82367E+00       1.000       0.000       0.000       0.000       0.000       0.000    150.0390472      2.3189306    -900.000
       9.577       0.000       5.654       0.000     234.655    4.98635E+00    5.99508E+00       1.000       0.000       0.000       0.000       0.000       0.000    150.0390472      2.3189306    -890.000
       9.577       0.000       5.654       0.000     234.647    1.01056E+01    5.77753E+00       1.000       0.000       0.000       0.000       0.000       0.000    150.0390472      2.3189306    -880.000
       9.577       0.000       5.654       0.000     234.639   -8.67073E+00    5.79572E+00       1.000       0.000       0.000       0.000       0.000       0.000    150.0390472      2.3189306    -870.000
       9.577       0.000       5.654       0.000     234.631   -3.58574E+00    5.86011E+00       1.000       0.000       0.000       0.000       0.000       0.000    150.0390472      2.3189306    -860.000
       9.577       0.000       5.654       0.000     234.623    2.10877E+00    5.74019E+00       1.000       0.000       0.000       0.000       0.000       0.000    150.0390472      2.3189306    -850.000
       9.577       0.000       5.654       0.000     234.616   -5.72978E+00    6.01123E+00       1.000       0.000       0.000       0.000       0.000       0.000    150.0390472      2.3189306    -840.000
       9.577       0.000       5.654       0.000     234.608    1.06604E+01    5.83614E+00       1.000       0.000       0.000       0.000       0.000       0.000    150.0390472      2.3189306    -830.000
       9.577       0.000       5.654       0.000     234.600   -6.17420E-01    5.78113E+00       1.000       0.000       0.000       0.000       0.000       0.000    150.0390472      2.3189306    -820.000
       9.577       0.000       5.654       0.000     234.592    4.38787E+00    5.81255E+00       1.000       0.000       0.000       0.000       0.000       0.000    150.0390472      2.3189306    -810.000
