#          freq               flux              error       SNR
#           GHz                mJy                mJy          
        234.740     -0.1042958E+02      0.6533910E+01      0.00
        234.733      0.2376911E+01      0.6781147E+01      0.01
        234.725      0.1927097E+01      0.6488113E+01      0.01
        234.717     -0.7188157E+01      0.6496932E+01      0.00
        234.709     -0.4209163E+01      0.6517221E+01      0.00
        234.701      0.1807827E+01      0.6387786E+01      0.01
        234.694     -0.3629521E+01      0.6401482E+01      0.00
        234.686      0.7335701E+01      0.6474684E+01      0.03
        234.678      0.2297093E+01      0.6419533E+01      0.01
        234.670     -0.6402603E+01      0.6374580E+01      0.00
        234.662     -0.1915437E+02      0.6394993E+01      0.00
        234.655      0.7288839E+01      0.6591925E+01      0.03
        234.647     -0.9032654E+01      0.6354610E+01      0.00
        234.639     -0.6173234E+01      0.6376891E+01      0.00
        234.631      0.7549894E+01      0.6443151E+01      0.03
        234.623      0.1145029E+02      0.6309712E+01      0.05
        234.616      0.9172133E+01      0.6609746E+01      0.04
        234.608      0.7222503E+01      0.6420308E+01      0.03
        234.600     -0.9684139E+01      0.6354909E+01      0.00
        234.592     -0.7772328E+01      0.6390894E+01      0.00
        234.584      0.8963988E+00      0.6497888E+01      0.00
        234.577     -0.6338563E+01      0.6264663E+01      0.00
        234.569     -0.4218015E+01      0.6455626E+01      0.00
        234.561     -0.2126784E+01      0.6532448E+01      0.00
        234.553      0.8270256E+01      0.6235188E+01      0.04
        234.545      0.2053253E+02      0.6312697E+01      0.09
        234.538      0.5470030E+01      0.6524715E+01      0.02
        234.530      0.9551907E+01      0.6373942E+01      0.04
        234.522      0.9120598E+01      0.6266789E+01      0.04
        234.514      0.1554011E+02      0.6209517E+01      0.07
        234.506     -0.2712874E+01      0.6308514E+01      0.00
        234.498      0.3191850E+01      0.6161437E+01      0.01
        234.491      0.1201376E+02      0.6261175E+01      0.05
        234.483     -0.2615379E+01      0.6156989E+01      0.00
        234.475      0.9674117E+01      0.6293184E+01      0.04
        234.467     -0.3676986E+01      0.6157542E+01      0.00
        234.459      0.1925213E+01      0.6205141E+01      0.01
        234.452     -0.1236677E+02      0.6184747E+01      0.00
        234.444      0.7537728E+01      0.6203179E+01      0.03
        234.436      0.2664792E+01      0.6413193E+01      0.01
        234.428      0.1983025E+01      0.6356442E+01      0.01
        234.420     -0.5057962E+01      0.6211503E+01      0.00
        234.413      0.2868565E+00      0.6342724E+01      0.00
        234.405     -0.1019845E+02      0.6262122E+01      0.00
        234.397      0.7189285E+01      0.6281632E+01      0.03
        234.389     -0.9831593E+01      0.6341995E+01      0.00
        234.381      0.1099213E+02      0.6374408E+01      0.05
        234.374      0.8096439E+01      0.6356484E+01      0.03
        234.366     -0.2740337E+01      0.6325942E+01      0.00
        234.358      0.6485902E+01      0.6467785E+01      0.03
        234.350     -0.1188633E+02      0.6358983E+01      0.00
        234.342      0.3362478E+01      0.6327142E+01      0.01
        234.335      0.7777790E+00      0.6245642E+01      0.00
        234.327     -0.5899771E+01      0.6346709E+01      0.00
        234.319     -0.3892770E+01      0.6290930E+01      0.00
        234.311     -0.3226370E+01      0.6485118E+01      0.00
        234.303     -0.5718918E+00      0.6307670E+01      0.00
        234.296      0.5615752E+01      0.6235676E+01      0.02
        234.288     -0.1246436E+01      0.6274844E+01      0.00
        234.280     -0.5023666E+00      0.6359874E+01      0.00
        234.272     -0.1606279E+01      0.6205173E+01      0.00
        234.264     -0.6038931E+00      0.6249059E+01      0.00
        234.257      0.3612732E+00      0.6165653E+01      0.00
        234.249      0.6602645E+01      0.6123965E+01      0.03
        234.241     -0.4773287E+01      0.6261432E+01      0.00
        234.233      0.5942005E+01      0.6095584E+01      0.03
        234.225     -0.8452480E+01      0.6118337E+01      0.00
        234.218      0.8629515E+01      0.6028628E+01      0.04
        234.210     -0.5116683E+01      0.5965728E+01      0.00
        234.202     -0.1907870E+01      0.6077479E+01      0.00
        234.194     -0.3392541E+01      0.6022802E+01      0.00
        234.186     -0.5486330E+01      0.6120877E+01      0.00
        234.179     -0.6885714E+01      0.5999975E+01      0.00
        234.171     -0.6094668E+01      0.5993694E+01      0.00
        234.163      0.7587065E+00      0.5898043E+01      0.00
        234.155      0.2168347E+02      0.5966403E+01      0.09
        234.147      0.8467320E+01      0.6045581E+01      0.04
        234.139      0.7462425E+01      0.6035799E+01      0.03
        234.132      0.9302605E+01      0.6060604E+01      0.04
        234.124      0.9965609E+00      0.5887612E+01      0.00
        234.116     -0.5470731E+01      0.5959552E+01      0.00
        234.108      0.3127825E+01      0.5851756E+01      0.01
        234.100     -0.6012707E+01      0.5819680E+01      0.00
        234.093      0.9864455E+01      0.6005373E+01      0.04
        234.085      0.1077634E+02      0.5993779E+01      0.05
        234.077      0.3734841E+01      0.5991370E+01      0.02
        234.069     -0.1038583E+02      0.6040442E+01      0.00
        234.061     -0.8098580E+01      0.6009101E+01      0.00
        234.054     -0.4301921E+01      0.6066702E+01      0.00
        234.046      0.2422041E+01      0.5965645E+01      0.01
        234.038     -0.9502017E+01      0.5916836E+01      0.00
        234.030      0.4559392E+01      0.5815178E+01      0.02
        234.022      0.1981018E-01      0.6017864E+01      0.00
        234.015     -0.1774915E+01      0.6109670E+01      0.00
        234.007      0.6228296E+01      0.6132409E+01      0.03
        233.999      0.4814136E+01      0.6224938E+01      0.02
        233.991      0.1144308E+02      0.6261922E+01      0.05
        233.983     -0.4928439E+00      0.6261073E+01      0.00
        233.976     -0.3175079E+01      0.6385259E+01      0.00
        233.968     -0.3992839E+00      0.6236878E+01      0.00
        233.960     -0.3520762E+01      0.6526745E+01      0.00
        233.952     -0.8198279E+01      0.6355062E+01      0.00
        233.944      0.3807404E+01      0.6205385E+01      0.02
        233.937      0.1768144E+01      0.6378199E+01      0.01
        233.929     -0.4691512E+01      0.7042527E+01      0.00
        233.921     -0.3229989E+01      0.6382106E+01      0.00
        233.913      0.4979949E+01      0.6392496E+01      0.02
        233.905      0.2290574E+01      0.6216110E+01      0.01
        233.898      0.2165075E+01      0.6281540E+01      0.01
        233.890      0.4551321E+01      0.6127942E+01      0.02
        233.882     -0.8421237E+00      0.6304202E+01      0.00
        233.874     -0.5406164E+01      0.6293456E+01      0.00
        233.866     -0.1463182E+01      0.6178906E+01      0.00
        233.859     -0.1763693E+01      0.6134311E+01      0.00
        233.851     -0.5177251E+01      0.6127753E+01      0.00
        233.843     -0.1320931E+02      0.6167855E+01      0.00
        233.835     -0.6671010E+01      0.6081487E+01      0.00
        233.827     -0.2015426E+01      0.6036075E+01      0.00
        233.820      0.4971350E+01      0.5967275E+01      0.02
        233.812      0.1045621E+02      0.6165925E+01      0.04
        233.804      0.8430846E+01      0.6002664E+01      0.04
        233.796      0.4865797E+01      0.6046539E+01      0.02
        233.788     -0.5055480E+01      0.6044266E+01      0.00
        233.781      0.5445949E+01      0.5938381E+01      0.02
        233.773      0.4699830E+01      0.6036386E+01      0.02
        233.765     -0.8776575E+01      0.6128026E+01      0.00
        233.757     -0.5016291E+00      0.5971902E+01      0.00
        233.749     -0.1094481E+02      0.5976735E+01      0.00
        233.741      0.1298136E+01      0.6162202E+01      0.01
        233.734     -0.1573080E+01      0.6076945E+01      0.00
        233.726      0.4995635E+01      0.6009855E+01      0.02
        233.718      0.8063616E+01      0.5931614E+01      0.03
        233.710      0.1254447E+02      0.6024194E+01      0.05
        233.702      0.1157519E+01      0.5904046E+01      0.00
        233.695      0.3745705E+01      0.5996351E+01      0.02
        233.687     -0.1179344E+02      0.6041457E+01      0.00
        233.679     -0.1430641E+02      0.5757875E+01      0.00
        233.671     -0.7105482E+00      0.5804856E+01      0.00
        233.663     -0.4933391E+01      0.6023421E+01      0.00
        233.656      0.2944595E+01      0.5853273E+01      0.01
        233.648     -0.1411614E+00      0.5707446E+01      0.00
        233.640      0.3022737E+01      0.5813837E+01      0.01
        233.632     -0.1414389E+01      0.5903232E+01      0.00
        233.624     -0.6186610E+01      0.5855233E+01      0.00
        233.617      0.2457506E+01      0.5838356E+01      0.01
        233.609      0.1776716E+01      0.5899971E+01      0.01
        233.601      0.3633063E+01      0.5674634E+01      0.02
        233.593     -0.8314210E+01      0.5912055E+01      0.00
        233.585      0.2067250E+01      0.5822836E+01      0.01
        233.578      0.4190522E+01      0.5793043E+01      0.02
        233.570      0.5778757E+01      0.5856796E+01      0.02
        233.562     -0.6562109E+01      0.5917315E+01      0.00
        233.554     -0.1132272E+02      0.5603921E+01      0.00
        233.546     -0.1035171E+01      0.5878716E+01      0.00
        233.539     -0.7694847E+01      0.5965563E+01      0.00
        233.531      0.8727547E+01      0.5845726E+01      0.04
        233.523      0.5150836E+01      0.5874093E+01      0.02
        233.515      0.2098490E+01      0.6008787E+01      0.01
        233.507     -0.7256423E+01      0.6135507E+01      0.00
        233.500      0.1421752E+01      0.6011395E+01      0.01
        233.492      0.1197366E+02      0.6068150E+01      0.05
        233.484     -0.2740664E+01      0.5919579E+01      0.00
        233.476     -0.7278022E+00      0.6024100E+01      0.00
        233.468     -0.1317743E+01      0.6036234E+01      0.00
        233.461      0.7590154E+01      0.5905640E+01      0.03
        233.453      0.3338600E+01      0.5850277E+01      0.01
        233.445     -0.8949645E+01      0.5989843E+01      0.00
        233.437     -0.1113639E+01      0.6070905E+01      0.00
        233.429     -0.3798219E+01      0.5979707E+01      0.00
        233.422     -0.2816237E+01      0.5979846E+01      0.00
        233.414      0.4898966E+01      0.5820888E+01      0.02
        233.406     -0.6443082E+01      0.5818985E+01      0.00
        233.398      0.7627824E+01      0.6038755E+01      0.03
        233.390     -0.6742842E+01      0.5847557E+01      0.00
        233.383      0.1721404E+01      0.5980210E+01      0.01
        233.375      0.6081607E+00      0.6092450E+01      0.00
        233.367      0.6680463E+01      0.6083949E+01      0.03
        233.359      0.6333359E+01      0.5945525E+01      0.03
        233.351     -0.1053392E+01      0.5918402E+01      0.00
        233.343      0.7058356E+01      0.6054533E+01      0.03
        233.336      0.7170974E+01      0.6048877E+01      0.03
        233.328      0.1222214E+02      0.6156806E+01      0.05
        233.320     -0.1158599E+01      0.6094794E+01      0.00
        233.312     -0.2528235E+01      0.5981443E+01      0.00
        233.304      0.1708782E+00      0.6103277E+01      0.00
        233.297     -0.8638290E+01      0.6133292E+01      0.00
        233.289     -0.5558842E+01      0.6044346E+01      0.00
        233.281     -0.8528322E+01      0.6165441E+01      0.00
        233.273     -0.1298831E+02      0.6220909E+01      0.00
        233.265     -0.1096836E+02      0.6169435E+01      0.00
        233.258      0.6327605E+01      0.6077559E+01      0.03
        233.250     -0.1087713E+01      0.6294590E+01      0.00
        233.242     -0.5500186E+00      0.6304644E+01      0.00
        233.234     -0.5387151E+01      0.6309125E+01      0.00
        233.226     -0.2774261E+01      0.6348540E+01      0.00
        233.219      0.1425952E+01      0.6371230E+01      0.01
        233.211      0.2604001E+00      0.6311084E+01      0.00
        233.203      0.1430969E+02      0.6310859E+01      0.06
        233.195     -0.1413965E+01      0.6283929E+01      0.00
        233.187     -0.6230471E+01      0.6390046E+01      0.00

